iteration,ratio,objective,residual,left_bc,right_bc
150,8.8365406773e-02,5.8250160143e-01,4.7701695561e-01,4.8026908189e-03,5.7457736693e-03
151,8.8258765804e-02,5.8179862797e-01,4.7743842006e-01,4.7610751353e-03,5.6749456562e-03
152,8.8154046829e-02,5.8110832423e-01,4.7782948613e-01,4.7208606265e-03,5.6070229039e-03
153,8.8051132865e-02,5.8042991906e-01,4.7818368673e-01,4.6789702028e-03,5.5456529371e-03
154,8.7949888849e-02,5.7976252213e-01,4.7849702835e-01,4.6345177107e-03,5.4920315742e-03
155,8.7850198930e-02,5.7910536975e-01,4.7876858711e-01,4.5891427435e-03,5.4445355199e-03
156,8.7751961384e-02,5.7845779136e-01,4.7899931669e-01,4.5459326357e-03,5.3999149241e-03
157,8.7655040582e-02,5.7781889290e-01,4.7919076681e-01,4.5076361857e-03,5.3551765159e-03
158,8.7559351754e-02,5.7718811557e-01,4.7934341431e-01,4.4752741233e-03,5.3091961890e-03
159,8.7464773965e-02,5.7656466216e-01,4.7945585847e-01,4.4477339834e-03,5.2631464787e-03
160,8.7371228095e-02,5.7594801113e-01,4.7952607274e-01,4.4225556776e-03,5.2196378820e-03
161,8.7278641809e-02,5.7533768564e-01,4.7955223918e-01,4.3973992579e-03,5.1811453886e-03
162,8.7186932033e-02,5.7473313808e-01,4.7953450680e-01,4.3712621555e-03,5.1486007869e-03
163,8.7096055254e-02,5.7413408160e-01,4.7947511077e-01,4.3448805809e-03,5.1210164092e-03
164,8.7005945915e-02,5.7354008406e-01,4.7937759757e-01,4.3201213703e-03,5.0961272791e-03
165,8.6916585368e-02,5.7295102254e-01,4.7924625874e-01,4.2988071218e-03,5.0716693513e-03
166,8.6827923882e-02,5.7236656919e-01,4.7908416390e-01,4.2816572823e-03,5.0465832464e-03
167,8.6739938852e-02,5.7178657502e-01,4.7889313102e-01,4.2679370381e-03,5.0214072689e-03
168,8.6652605978e-02,5.7121087983e-01,4.7867402434e-01,4.2559346184e-03,4.9977507442e-03
169,8.6565904349e-02,5.7063934579e-01,4.7842779756e-01,4.2439443059e-03,4.9772104248e-03
170,8.6479841312e-02,5.7007202134e-01,4.7815653682e-01,4.2311572470e-03,4.9603912048e-03
171,8.6394382960e-02,5.6950868294e-01,4.7786340117e-01,4.2179706506e-03,4.9465573393e-03
172,8.6309545117e-02,5.6894943491e-01,4.7755268216e-01,4.2055738159e-03,4.9341013655e-03
173,8.6225273530e-02,5.6839391962e-01,4.7722837329e-01,4.1951383464e-03,4.9214162864e-03
174,8.6141592499e-02,5.6784229726e-01,4.7689390182e-01,4.1870884597e-03,4.9077509902e-03
175,8.6058484506e-02,5.6729445234e-01,4.7655129433e-01,4.1808527894e-03,4.8934631050e-03
176,8.5975941074e-02,5.6675032899e-01,4.7620168328e-01,4.1752229445e-03,4.8796413466e-03
177,8.5893936207e-02,5.6620975584e-01,4.7584599257e-01,4.1690319777e-03,4.8673441634e-03
178,8.5812465950e-02,5.6567270681e-01,4.7548583150e-01,4.1617727838e-03,4.8569147475e-03
179,8.5731503740e-02,5.6513900682e-01,4.7512352467e-01,4.1537610814e-03,4.8477868550e-03
180,8.5651059751e-02,5.6460872293e-01,4.7476184368e-01,4.1458522901e-03,4.8388354480e-03
181,8.5571110813e-02,5.6408170238e-01,4.7440338135e-01,4.1388240643e-03,4.8290081322e-03
182,8.5491608324e-02,5.6355762482e-01,4.7404956818e-01,4.1328934021e-03,4.8179123551e-03
183,8.5412584497e-02,5.6303670257e-01,4.7370123863e-01,4.1276197881e-03,4.8059266992e-03
184,8.5333998642e-02,5.6251866743e-01,4.7335827351e-01,4.1221575812e-03,4.7938819043e-03
185,8.5255846804e-02,5.6200349331e-01,4.7302058339e-01,4.1158008389e-03,4.7824899666e-03
186,8.5178096771e-02,5.6149096787e-01,4.7268834710e-01,4.1083381511e-03,4.7719241120e-03
187,8.5100758149e-02,5.6098115444e-01,4.7236242890e-01,4.1001322679e-03,4.7617400996e-03
188,8.5023806639e-02,5.6047389284e-01,4.7204387188e-01,4.0918267332e-03,4.7511751764e-03
189,8.4947237719e-02,5.5996915326e-01,4.7173330188e-01,4.0839533322e-03,4.7396318987e-03
190,8.4871031044e-02,5.5946680158e-01,4.7143074870e-01,4.0765837766e-03,4.7270217910e-03
191,8.4795196223e-02,5.5896690115e-01,4.7113555670e-01,4.0693734773e-03,4.7137611546e-03
